"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","45-49","Female","
0.00150
","0.0015","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","45-49","Male","
0.00240
","0.0024","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","55-59","Male","
0.00746
","0.00746","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","100+","Male","
0.50031
","0.50031","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","35-39","Female","
0.00064
","6.4E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","25-29","Both sexes","
0.00053
","5.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","100+","Both sexes","
0.46812
","0.46812","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","80-84","Female","
0.06067
","0.06067","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","70-74","Both sexes","
0.02358
","0.02358","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","60-64","Both sexes","
0.00787
","0.00787","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","65-69","Male","
0.01950
","0.0195","","",""

